Brand,Model,Storage,CPU Model,OS,Rating,Review Count,Graphics,Price ($),Screen_size(Inches),Ram(GB)
HP,HP Laptop 17,1 TB,AMD R Series,Windows 11 Home,4.3,91.0,AMD Radeon Graphics,439.0,17.3,32
HP,"HP 15.6""",1 TB,Intel Core i5,Windows 11,4.2,312.0,Intel UHD Graphics,329.99,15.6,16
ASUS,X512DA-BTS2020RL,512 GB,Ryzen 5 1400,Windows 10,4.3,289.0,AMD Radeon Vega 8,484.99,15.6,8
HP,15-fd0182wm,1 TB,Core i7,Windows 11 Home,4.5,10.0,Intel Iris Xe Graphics,1449.0,15.6,16
MSI,Prestige 13 AI+ Evo A2VMG-014US,1 TB,Intel Core Ultra 7,Windows 11 Pro,4.0,21.0,Intel Arc Graphics,660.0,13.3,32
Dell,Inspiron 15 3520,1 TB,Core i7 Family,Windows 11 Home,4.2,169.0,Intel Iris Xe Graphics,765.0,15.6,32
HP,HP Pavilion 16,1 TB,AMD Ryzen 7,Windows 11 Home,0.0,0.0,AMD Radeon R7,209.88,16.0,16
ASUS,L510KA-ES04,NO SSD,Celeron,Windows 11 Home,3.9,449.0,NO GRAPHIC CARD,350.0,15.6,4
Dell,Dell Inspiron 3520,512 GB,Core i3,Windows 11 Home,4.6,20.0,Intel UHD Graphics,609.0,15.6,16
HP,HP Victus,512 GB,Core i5,Windows 11 Pro,4.4,20.0,NVIDIA GeForce RTX 3050,339.99,15.6,16
Dell,Dell Inspiron 15 3535 Laptop,512 GB,Ryzen 5,Windows 11 Home,4.1,283.0,AMD Radeon™ Graphics,826.18,15.6,8
Lenovo,ThinkPad E14 Gen 6,512 GB,Ryzen 7,Windows 11 Pro,4.0,0.0,AMD Radeon 680M Graphics,942.69,14.0,16
ASUS,Vivobook S 14,512 GB,Ryzen 9,Windows 11 Home,4.2,223.0,NO GRAPHIC CARD,649.99,14.0,24
SGIN,M15N,NO SSD,NO CPU,NO OS,3.3,21.0,NO GRAPHIC CARD,649.99,17.3,0
HP,HP Victus Gaming Laptop,1 TB,Core i5-12450H,Windows 11 Pro,5.0,2.0,NVIDIA GeForce RTX 3050,739.99,15.6,64
HP,15-fc0025dx,512 GB,AMD Ryzen 5 5500U,Windows 11 Home,3.9,23.0,NO GRAPHIC CARD,339.0,15.6,8
Dell,Inspiron,1 TB,Ryzen 5,Windows 11 Pro,4.3,7.0,AMD Radeon Graphics,640.0,14.0,16
Samsung,NO MODEL,NO SSD,Celeron,Chrome OS,4.0,2.143,Intel HD Graphics 615,202.71,15.6,0
Lenovo,IdeaPad 3 81X800ENUS,256 GB,Core i3,Windows 11,4.3,4.316,Intel UHD Graphics,314.98,15.6,20
acer,Gateway Chromebook 311 CBO311-1H-C1MX,64 GB,Celeron,Chrome OS,4.4,10.676,Intel UHD Graphics,39.99,11.6,4
HP,14-cf2111wm,64 GB,Intel Celeron 1007U,Windows 11 Home,4.1,17.0,Intel UHD Graphics 600,155.0,14.0,0
ASUS,Chromebook CM14,64 GB,MediaTek Helio,Chrome OS,4.2,1.389,ASUS,158.68,14.0,4
ASUS,Zenbook DUO,1 TB,Intel Core Ultra 9,Windows 11 Home,4.4,83.0,Arc Graphics,1565.02,14.0,32
Lenovo,Lenovo Ideapad,256 GB,Core i3,Windows 10,4.6,885.0,Intel UHD Graphics,238.0,15.6,8
Lenovo,Newest Lenovo Slim 3 Chromebook,64 GB,Cortex,Chrome OS,4.3,61.0,Integrated ARM Mali-G52 2EE MC2 GPU,249.0,14.0,4
HP,HP,512 GB,Core i7,Windows 11 Home,4.3,76.0,Intel Iris Xe Graphics,429.0,15.6,16
acer,Aspire3,512 GB,Ryzen 5,Windows 11 Home,4.4,4.0,AMD Radeon Graphics,299.99,15.6,8
HP,HP Victus Gaming Laptop,1 TB,Core i5-12450H,Windows 11 Pro,4.5,8.0,NVIDIA GeForce RTX 3050,559.97,15.6,16
HP,HP Victus Gaming Laptop,512 GB,Core i5-12450H,Windows 11 Pro,2.4,2.0,NVIDIA GeForce RTX 3050,595.0,15.6,16
Dell,Inspiron 16,1 TB,Core i7 Family,Windows 11 Pro,3.9,14.0,Intel Iris Xe Graphics,759.99,16.0,32
HP,A14M,1 TB,AMD R Series,Windows 11 Home,4.1,22.0,NVIDIA GeForce RTX 4050,709.0,15.6,16
HP,HP Notebook,256 GB,Core i5,Windows 11 Home,4.2,559.0,Intel Iris Xe Graphics,294.0,15.0,8
MSI,Vector 16 HX AI A2XWIG-058US,2 TB,Intel Core i9,Windows 11 Pro,3.4,13.0,NVIDIA GeForce RTX 4080,2627.99,16.0,32
acer,Acer Laptop,64 GB,Celeron,Chrome OS,4.3,203.0,Intel UHD Graphics 600,59.99,15.6,4
HP,Notebook,1 TB,Core i3 Family,Windows 11 Home,4.1,177.0,Intel UHD Graphics,249.99,15.6,32
acer,CB315-4H-C8XU,64 GB,Celeron,Chrome OS,4.3,161.0,Intel UHD Graphics,69.89,15.6,4
Dell,Latitude,1 TB,Intel Core Ultra 7,Windows 11 Pro,4.4,21.0,Intel Graphics,1000.0,15.6,32
HP,HP Business Laptop,NO SSD,Athlon 3050U,Windows 11 Pro,4.7,8.0,NO GRAPHIC CARD,299.99,15.6,16
